time;PV Opgewekt;Verbruik
"01/2023";1245,8249984400027;20692,552058400062
"02/2023";2716,2750007499853;17757,562031700043
"03/2023";5206,800000069998;19765,793057489907
"04/2023";8563,500009900017;12843,537025180063
"05/2023";12422,250011630022;11116,710010960058
"06/2023";13765,57499645;18039,977001239953
"07/2023";13237,64997920995;12436,120971489872
"08/2023";8970,074988159933;9014,50597754016
"09/2023";7299,900001130009;15779,806990099954
"10/2023";3633,22499632003;11757,95300706994
"11/2023";1635,0750044900342;18861,22905676003
"12/2023";821,2499997699633;16967,646026179893
