time;PV Opgewekte energie totaal
"17/01 00:00";0
"17/01 00:15";0
"17/01 00:30";0
"17/01 00:45";0
"17/01 01:00";0
"17/01 01:15";0
"17/01 01:30";-1,4551915228366852e-11
"17/01 01:45";1,4551915228366852e-11
"17/01 02:00";0
"17/01 02:15";-2,9103830456733704e-11
"17/01 02:30";2,9103830456733704e-11
"17/01 02:45";0
"17/01 03:00";0
"17/01 03:15";0
"17/01 03:30";0
"17/01 03:45";0
"17/01 04:00";0
"17/01 04:15";0
"17/01 04:30";0
"17/01 04:45";0
"17/01 05:00";0
"17/01 05:15";0
"17/01 05:30";0
"17/01 05:45";0
"17/01 06:00";0
"17/01 06:15";0
"17/01 06:30";0
"17/01 06:45";0
"17/01 07:00";0
"17/01 07:15";0
"17/01 07:30";0
"17/01 07:45";0
"17/01 08:00";0
"17/01 08:15";0
"17/01 08:30";0,1524939000082668
"17/01 08:45";0,32998680001765024
"17/01 09:00";0,6049757999571739
"17/01 09:15";1,1524539000238292
"17/01 09:30";1,9524219000013545
"17/01 09:45";2,0649174000136554
"17/01 10:00";2,387404500012053
"17/01 10:15";2,8123874999582767
"17/01 10:30";3,6548538000206463
"17/01 10:45";4,382324699981837
"17/01 11:00";4,202331900014542
"17/01 11:15";4,779808799998136
"17/01 11:30";5,044798200004152
"17/01 11:45";5,259789599964279
"17/01 12:00";5,952261900019948
"17/01 12:15";5,582276700006332
"17/01 12:30";6,522239099998842
"17/01 12:45";6,124755000026198
"17/01 13:00";5,677272899978561
"17/01 13:15";5,549777999985963
"17/01 13:30";5,657273700009682
"17/01 13:45";4,947302100015804
"17/01 14:00";4,817307300007087
"17/01 14:15";4,8548057999578305
"17/01 14:30";4,839806400021189
"17/01 14:45";3,7598496000136947
"17/01 15:00";3,192372299992712
"17/01 15:15";2,657393699992099
"17/01 15:30";2,0399184000125388
"17/01 15:45";1,5674372999928892
"17/01 16:00";0,9799608000030275
"17/01 16:15";0,6599736000061966
"17/01 16:30";0,3249869999999646
"17/01 16:45";0,1224950999894645
"17/01 17:00";0,08249669999349862
"17/01 17:15";0,04499820001365151
"17/01 17:30";0
"17/01 17:45";0
"17/01 18:00";-2,9103830456733704e-11
"17/01 18:15";2,9103830456733704e-11
"17/01 18:30";-2,9103830456733704e-11
"17/01 18:45";2,9103830456733704e-11
"17/01 19:00";0
"17/01 19:15";0
"17/01 19:30";0
"17/01 19:45";0
"17/01 20:00";0
"17/01 20:15";0
"17/01 20:30";0
"17/01 20:45";0
"17/01 21:00";0
"17/01 21:15";0
"17/01 21:30";0
"17/01 21:45";0
"17/01 22:00";0
"17/01 22:15";0
"17/01 22:30";0
"17/01 22:45";-2,9103830456733704e-11
"17/01 23:00";2,9103830456733704e-11
"17/01 23:15";0
"17/01 23:30";0
"17/01 23:45";0
