time;Buitentemperatuur;Export beperking;Globale straling
"17/01/2025 23:55:00";-1;0;0
"18/01/2025 00:00:00";-1.4;0;0
"18/01/2025 00:05:00";-1.2;0;0
"18/01/2025 00:10:00";-1;0;0
"18/01/2025 00:15:00";-0.8;0;0
"18/01/2025 00:20:00";-1;0;0
"18/01/2025 00:25:00";-0.6;0;0
"18/01/2025 00:30:00";-1;0;0
"18/01/2025 00:35:00";-0.6;0;0
"18/01/2025 00:40:00";-1;0;0
"18/01/2025 00:45:00";-1;0;0
"18/01/2025 00:50:00";-0.9;0;0
"18/01/2025 00:55:00";-0.8;0;0
"18/01/2025 01:00:00";-1.1;0;0
"18/01/2025 01:05:00";-0.9;0;0
"18/01/2025 01:10:00";-0.9;0;0
"18/01/2025 01:15:00";-1.3;0;0
"18/01/2025 01:20:00";-0.8;0;0
"18/01/2025 01:25:00";-1;0;0
"18/01/2025 01:30:00";-1;0;0
"18/01/2025 01:35:00";-1.1;0;0
"18/01/2025 01:40:00";-1.3;0;0
"18/01/2025 01:45:00";-1;0;0
"18/01/2025 01:50:00";-0.9;0;0
"18/01/2025 01:55:00";-0.8;0;0
"18/01/2025 02:00:00";-1;0;0
"18/01/2025 02:05:00";-1;0;0
"18/01/2025 02:10:00";-1;0;0
"18/01/2025 02:15:00";-1;0;0
"18/01/2025 02:20:00";-0.3;0;0
"18/01/2025 02:25:00";-0.4;0;0
"18/01/2025 02:30:00";-1.1;0;0
"18/01/2025 02:35:00";-0.7;0;0
"18/01/2025 02:40:00";-1;0;0
"18/01/2025 02:45:00";-1.1;0;0
"18/01/2025 02:50:00";-1;0;0
"18/01/2025 02:55:00";-0.8;0;0
"18/01/2025 03:00:00";-0.6;0;0
"18/01/2025 03:05:00";-0.5;0;0
"18/01/2025 03:10:00";-0.4;0;0
"18/01/2025 03:15:00";-0.4;0;0
"18/01/2025 03:20:00";-0.2;0;0
"18/01/2025 03:25:00";-1.1;0;0
"18/01/2025 03:30:00";-1.3;0;0
"18/01/2025 03:35:00";-1.2;0;0
"18/01/2025 03:40:00";-1;0;0
"18/01/2025 03:45:00";-1.2;0;0
"18/01/2025 03:50:00";-1.1;0;0
"18/01/2025 03:55:00";-0.6;0;0
"18/01/2025 04:00:00";-0.7;0;0
"18/01/2025 04:05:00";-0.9;0;0
"18/01/2025 04:10:00";-1.3;0;0
"18/01/2025 04:15:00";-1;0;0
"18/01/2025 04:20:00";-1;0;0
"18/01/2025 04:25:00";-1.4;0;0
"18/01/2025 04:30:00";-1.5;0;0
"18/01/2025 04:35:00";-1.7;0;0
"18/01/2025 04:40:00";-1.7;0;0
"18/01/2025 04:45:00";-2;0;0
"18/01/2025 04:50:00";-2;0;0
"18/01/2025 04:55:00";-1.8;0;0
"18/01/2025 05:00:00";-1.7;0;0
"18/01/2025 05:05:00";-1.9;0;0
"18/01/2025 05:10:00";-1.8;0;0
"18/01/2025 05:15:00";-1.7;0;0
"18/01/2025 05:20:00";-1.7;0;0
"18/01/2025 05:25:00";-1.6;0;0
"18/01/2025 05:30:00";-1.9;0;0
"18/01/2025 05:35:00";-1.9;0;0
"18/01/2025 05:40:00";-1.8;0;0
"18/01/2025 05:45:00";-1.9;0;0
"18/01/2025 05:50:00";-2;0;0
"18/01/2025 05:55:00";-2.2;0;0
"18/01/2025 06:00:00";-2.1;0;0
"18/01/2025 06:05:00";-1;0;0
"18/01/2025 06:10:00";-1.6;0;0
"18/01/2025 06:15:00";-1.9;0;0
"18/01/2025 06:20:00";-2.1;0;0
"18/01/2025 06:25:00";-2;0;0
"18/01/2025 06:30:00";-2;0;0
"18/01/2025 06:35:00";-2.1;0;0
"18/01/2025 06:40:00";-2.1;0;0
"18/01/2025 06:45:00";-2;0;0
"18/01/2025 06:50:00";-2.2;0;0
"18/01/2025 06:55:00";-1.9;0;0
"18/01/2025 07:00:00";-1.9;0;0
"18/01/2025 07:05:00";-1.9;0;0
"18/01/2025 07:10:00";-1.9;0;0
"18/01/2025 07:15:00";-1.9;0;0
"18/01/2025 07:20:00";-1.9;0;0
"18/01/2025 07:25:00";-1.8;0;0
"18/01/2025 07:30:00";-2.1;0;0
"18/01/2025 07:35:00";-2.1;0;0
"18/01/2025 07:40:00";-2.1;0;0
"18/01/2025 07:45:00";-2;0;0
"18/01/2025 07:50:00";-1.9;0;0
"18/01/2025 07:55:00";-2;0;0
"18/01/2025 08:00:00";-1.8;0;0
"18/01/2025 08:05:00";-1.8;0;0
"18/01/2025 08:10:00";-1.8;0;0
"18/01/2025 08:15:00";-1.9;0;0
"18/01/2025 08:20:00";-2;0;0
"18/01/2025 08:25:00";-2.2;0;0
"18/01/2025 08:30:00";-2.2;0;0
"18/01/2025 08:35:00";-1.8;0;0
"18/01/2025 08:40:00";-2.1;0;0
"18/01/2025 08:45:00";-1.9;0;0
"18/01/2025 08:50:00";-1.9;0;21
"18/01/2025 08:55:00";-1.9;0;21
"18/01/2025 09:00:00";-2;0;30
"18/01/2025 09:05:00";-2.1;0;32
"18/01/2025 09:10:00";-1.8;0;33
"18/01/2025 09:15:00";-2;0;32
"18/01/2025 09:20:00";-1.9;0;36
"18/01/2025 09:25:00";-2;0;43
"18/01/2025 09:30:00";-1.9;0;51
"18/01/2025 09:35:00";-1.8;0;53
"18/01/2025 09:40:00";-1.6;1;56
"18/01/2025 09:45:00";-1.7;0;59
"18/01/2025 09:50:00";-1.8;0;54
"18/01/2025 09:55:00";-1.8;1;53
"18/01/2025 10:00:00";-1.7;0;46
"18/01/2025 10:05:00";-1.7;1;48
"18/01/2025 10:10:00";-1.6;0;53
"18/01/2025 10:15:00";-1.8;1;52
"18/01/2025 10:20:00";-1.9;1;57
"18/01/2025 10:25:00";-1.7;1;59
"18/01/2025 10:30:00";-1.7;0;65
"18/01/2025 10:35:00";-1.8;26;69
"18/01/2025 10:40:00";-1.6;67;67
"18/01/2025 10:45:00";-1.7;78;63
"18/01/2025 10:50:00";-1.7;92;68
"18/01/2025 10:55:00";-1.8;94;68
"18/01/2025 11:00:00";-1.8;94;71
"18/01/2025 11:05:00";-1.8;95;71
"18/01/2025 11:10:00";-1.7;90;74
"18/01/2025 11:15:00";-1.6;0;77
"18/01/2025 11:20:00";-1.6;0;77
"18/01/2025 11:25:00";-1.8;0;80
"18/01/2025 11:30:00";-1.6;0;93
"18/01/2025 11:35:00";-1.5;0;112
"18/01/2025 11:40:00";-1.7;0;98
"18/01/2025 11:45:00";-2;0;77
"18/01/2025 11:50:00";-1.7;0;77
"18/01/2025 11:55:00";-1.7;0;78
"18/01/2025 12:00:00";-2;0;83
"18/01/2025 12:05:00";-1.9;0;82
"18/01/2025 12:10:00";-1.7;0;94
"18/01/2025 12:15:00";-1.6;0;110
"18/01/2025 12:20:00";-1.7;0;125
"18/01/2025 12:25:00";-1.8;0;95
"18/01/2025 12:30:00";-2;95;98
"18/01/2025 12:35:00";-1.7;94;91
"18/01/2025 12:40:00";-2;90;102
"18/01/2025 12:45:00";-1.5;94;92
"18/01/2025 12:50:00";-1.3;95;105
"18/01/2025 12:55:00";-1.3;94;93
"18/01/2025 13:00:00";-1.3;95;99
"18/01/2025 13:05:00";-1.4;96;98
"18/01/2025 13:10:00";-1.1;95;98
"18/01/2025 13:15:00";-0.9;95;106
"18/01/2025 13:20:00";-1;96;94
"18/01/2025 13:25:00";-1.1;99;120
"18/01/2025 13:30:00";-1.1;95;92
"18/01/2025 13:35:00";-1.1;95;122
"18/01/2025 13:40:00";-1;95;101
"18/01/2025 13:45:00";-1.3;95;72
"18/01/2025 13:50:00";-1.4;93;90
"18/01/2025 13:55:00";-1.2;95;87
"18/01/2025 14:00:00";-1.1;95;92
"18/01/2025 14:05:00";-1;100;90
"18/01/2025 14:10:00";-1.1;96;89
"18/01/2025 14:15:00";-1.1;96;90
"18/01/2025 14:20:00";-1.1;95;71
"18/01/2025 14:25:00";-1.2;35;74
"18/01/2025 14:30:00";-1.2;0;72
"18/01/2025 14:35:00";-1;0;70
"18/01/2025 14:40:00";-1;0;77
"18/01/2025 14:45:00";-1;0;85
"18/01/2025 14:50:00";-0.9;0;89
"18/01/2025 14:55:00";-0.9;0;96
"18/01/2025 15:00:00";-1;0;85
"18/01/2025 15:05:00";-0.9;0;73
"18/01/2025 15:10:00";-0.9;0;76
"18/01/2025 15:15:00";-0.9;0;75
"18/01/2025 15:20:00";-1;0;61
"18/01/2025 15:25:00";-1.1;0;64
"18/01/2025 15:30:00";-1;0;70
"18/01/2025 15:35:00";-1;5;51
"18/01/2025 15:40:00";-0.9;1;52
"18/01/2025 15:45:00";-0.8;0;49
"18/01/2025 15:50:00";-0.8;0;46
"18/01/2025 15:55:00";-0.9;1;43
"18/01/2025 16:00:00";-1;0;44
"18/01/2025 16:05:00";-1;0;38
"18/01/2025 16:10:00";-0.9;0;44
"18/01/2025 16:15:00";-0.8;0;49
"18/01/2025 16:20:00";-0.7;0;32
"18/01/2025 16:25:00";-0.8;0;33
