time,Buitentemperatuur,Export beperking,Globale straling,PV Opgewekte energie totaal
17/01/2025 23:55,-1,0,0,0
18/01/2025 00:00,-1.4,0,0,0
18/01/2025 00:05,-1.2,0,0,0
18/01/2025 00:10,-1,0,0,0
18/01/2025 00:15,-0.8,0,0,0
18/01/2025 00:20,-1,0,0,0
18/01/2025 00:25,-0.6,0,0,0
18/01/2025 00:30,-1,0,0,0
18/01/2025 00:35,-0.6,0,0,0
18/01/2025 00:40,-1,0,0,0
18/01/2025 00:45,-1,0,0,0
18/01/2025 00:50,-0.9,0,0,0
18/01/2025 00:55,-0.8,0,0,0
18/01/2025 01:00,-1.1,0,0,0.00E+00
18/01/2025 01:05,-0.9,0,0,0.00E+00
18/01/2025 01:10,-0.9,0,0,0.00E+00
18/01/2025 01:15,-1.3,0,0,0
18/01/2025 01:20,-0.8,0,0,0
18/01/2025 01:25,-1,0,0,0
18/01/2025 01:30,-1,0,0,0
18/01/2025 01:35,-1.1,0,0,0
18/01/2025 01:40,-1.3,0,0,0
18/01/2025 01:45,-1,0,0,0
18/01/2025 01:50,-0.9,0,0,0
18/01/2025 01:55,-0.8,0,0,0
18/01/2025 02:00,-1,0,0,0
18/01/2025 02:05,-1,0,0,0
18/01/2025 02:10,-1,0,0,0
18/01/2025 02:15,-1,0,0,0
18/01/2025 02:20,-0.3,0,0,0
18/01/2025 02:25,-0.4,0,0,0
18/01/2025 02:30,-1.1,0,0,0
18/01/2025 02:35,-0.7,0,0,0
18/01/2025 02:40,-1,0,0,0
18/01/2025 02:45,-1.1,0,0,0
18/01/2025 02:50,-1,0,0,0
18/01/2025 02:55,-0.8,0,0,0
18/01/2025 03:00,-0.6,0,0,0
18/01/2025 03:05,-0.5,0,0,0
18/01/2025 03:10,-0.4,0,0,0
18/01/2025 03:15,-0.4,0,0,0
18/01/2025 03:20,-0.2,0,0,0
18/01/2025 03:25,-1.1,0,0,0
18/01/2025 03:30,-1.3,0,0,0.00E+00
18/01/2025 03:35,-1.2,0,0,0.00E+00
18/01/2025 03:40,-1,0,0,0.00E+00
18/01/2025 03:45,-1.2,0,0,0.00E+00
18/01/2025 03:50,-1.1,0,0,0.00E+00
18/01/2025 03:55,-0.6,0,0,0.00E+00
18/01/2025 04:00,-0.7,0,0,0
18/01/2025 04:05,-0.9,0,0,0
18/01/2025 04:10,-1.3,0,0,0
18/01/2025 04:15,-1,0,0,0
18/01/2025 04:20,-1,0,0,0
18/01/2025 04:25,-1.4,0,0,0
18/01/2025 04:30,-1.5,0,0,0
18/01/2025 04:35,-1.7,0,0,0
